Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,79.000000,79.970001,78.000000,78.000000,69.639420,18557200
2022-01-04,78.510002,79.070000,76.900002,77.080002,68.818031,18178700
2022-01-05,77.370003,78.680000,77.129997,77.809998,69.469780,22039000
2022-01-06,78.639999,80.349998,78.309998,79.379997,70.871506,22044100
2022-01-07,80.400002,84.000000,79.790001,84.000000,74.996292,35213100
2022-01-10,82.489998,84.269997,82.300003,83.000000,74.103485,25056700
2022-01-11,83.480003,85.150002,83.309998,84.580002,75.514137,28418800
2022-01-12,86.489998,86.580002,84.930000,85.500000,76.335526,27335400
2022-01-13,84.839996,85.230003,83.699997,84.199997,75.174858,23154200
2022-01-14,83.720001,84.930000,82.910004,84.690002,75.612343,21183400
2022-01-17,84.000000,84.599998,84.000000,84.250000,75.219505,9688500
2022-01-18,84.580002,86.879997,84.480003,86.309998,77.058701,24080200
2022-01-19,88.480003,89.000000,87.879997,88.209999,78.755035,29332500
2022-01-20,88.800003,88.970001,86.639999,86.709999,77.415817,22748800
2022-01-21,86.470001,86.730003,84.339996,84.910004,75.808762,32752300
2022-01-24,83.699997,83.959999,82.080002,83.870003,74.880234,29040100
2022-01-25,84.059998,85.050003,83.050003,84.059998,75.049858,22490500
2022-01-26,85.900002,86.559998,83.820000,84.300003,75.264153,25806800
2022-01-27,85.000000,85.459999,83.269997,84.489998,75.433777,20994900
2022-01-28,85.580002,86.349998,82.830002,83.660004,74.692749,28453000
2022-01-31,82.940002,82.940002,80.870003,80.870003,72.201797,31397700
2022-02-01,81.500000,85.330002,81.370003,85.309998,76.165878,24131300
2022-02-02,85.500000,86.290001,84.720001,85.790001,76.594437,17489000
2022-02-03,86.300003,86.779999,85.320000,85.750000,76.558723,19179400
2022-02-04,85.750000,88.169998,85.550003,88.000000,78.567551,24535400
2022-02-07,88.150002,90.239998,88.150002,90.129997,80.469238,24915800
2022-02-08,90.449997,91.480003,89.500000,91.389999,81.594185,26598600
2022-02-09,90.000000,91.800003,89.330002,91.410004,81.612053,24815300
2022-02-10,92.449997,94.480003,92.029999,93.870003,83.808372,47888900
2022-02-11,93.360001,93.400002,91.599998,91.970001,82.112022,34555300
2022-02-14,91.110001,92.169998,90.820000,91.570000,81.754890,22804400
2022-02-15,89.019997,89.940002,87.699997,88.849998,79.326439,29624900
2022-02-16,89.440002,90.620003,89.099998,89.500000,79.906776,20774700
2022-02-17,88.849998,89.000000,85.370003,85.650002,76.469444,36259300
2022-02-18,86.440002,87.029999,85.430000,85.830002,76.630150,22690600
2022-02-21,86.599998,87.989998,85.500000,85.900002,76.692650,14561000
2022-02-22,86.690002,87.400002,85.800003,87.389999,78.022942,23591200
